127.0.0.1 - - [08/May/2025:11:03:46 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/May/2025:11:03:46 +0900] "GET /webPro/resources/cdn-main/example.css HTTP/1.1" 200 14742
0:0:0:0:0:0:0:1 - - [08/May/2025:11:03:46 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [08/May/2025:11:04:40 +0900] "GET /webPro/resources/cdn-main/example.js HTTP/1.1" 200 4612
0:0:0:0:0:0:0:1 - - [08/May/2025:11:06:18 +0900] "GET /webPro/javascript/days01/ex01.html HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [08/May/2025:11:06:19 +0900] "GET /webPro/images/SiSt.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2025:11:06:58 +0900] "GET /webPro/javascript/days01/ex01.html HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [08/May/2025:11:18:20 +0900] "GET /webPro/javascript/days01/ex02.html HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [08/May/2025:11:20:26 +0900] "GET /webPro/javascript/days01/ex02.html HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [08/May/2025:11:20:40 +0900] "GET /webPro/javascript/days01/ex02.html HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [08/May/2025:11:21:26 +0900] "GET /webPro/javascript/days01/ex02.html HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [08/May/2025:11:25:36 +0900] "GET /webPro/javascript/days01/ex02.html HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [08/May/2025:11:26:59 +0900] "GET /webPro/javascript/days01/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2025:11:27:03 +0900] "GET /webPro/javascript/days01/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2025:11:27:04 +0900] "GET /webPro/javascript/days01/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2025:11:27:04 +0900] "GET /webPro/javascript/days01/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2025:11:27:04 +0900] "GET /webPro/javascript/days01/ex02.html HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [08/May/2025:11:27:06 +0900] "GET /webPro/javascript/days01/ex02.html? HTTP/1.1" 200 2610
