127.0.0.1 - - [14/May/2025:07:57:21 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/May/2025:07:57:21 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [14/May/2025:07:57:22 +0900] "GET /webPro/resources/cdn-main/example.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:42:00 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:42:00 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:42:00 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:42:00 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:42:01 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:42:01 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:42:48 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:42:48 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:42:49 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:44:04 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:44:04 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:45:37 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:46:38 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:47:53 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:08:50:10 +0900] "GET /webPro/javascript/days05/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:09:02:11 +0900] "GET /webPro/resources/cdn-main/example.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2025:17:29:18 +0900] "GET /webPro/resources/cdn-main/example.css HTTP/1.1" 304 -
